# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
AAGAB	VCE113360 (-57129)
SNX3	VCE299361 (-19802)
SOCS7	VCE135977 (+5374)
SOD3	VCE240766|VCE240767 (+152460)
SORCS1	VCE44830 (+242471), VCE44807|VCE44808 (+379828)
SORCS3	VCE44499 (+122232), VCE44501 (+133853)
SORL1	VCE62137|VCE62138|VCE62139 (+389691)
SOS1	VCE164573|VCE164574 (+131900)
SOS2	VCE98147|VCE98148|VCE98149 (+6122)
SOX14	VCE229151 (-499825), VCE229242|VCE229243|VCE229244 (-114553), VCE229277|VCE229278|VCE229279 (+43401), VCE229319|VCE229320|VCE229321|VCE229322 (+155881)
SOX4	VCE287685 (-402397), VCE287698 (-318769), VCE287722 (-199836), VCE287743 (-91703)
SOX5	VCE67621|VCE67622 (-378712), VCE67294|VCE67295|VCE67296 (+387984), VCE67279 (+422638)
SOX6	VCE50797 (+176395), VCE50795|VCE50796 (+178733), VCE50615 (+492923)
SOX9	VCE141063 (-271381), VCE141086 (-202894)
SP2	VCE137078|VCE137079 (-38803)
SP6	VCE137078|VCE137079 (-6154)
SPACA3	VCE134990 (+132129), VCE134991 (+143924), VCE135013|VCE135014 (+274886)
SPAG16	VCE192496 (-55640)
SPAG17	VCE18417|VCE18418 (-119711)
SPAG6	VCE33855 (+82478), VCE33856 (+89223)
SPANXA1	VCE389118 (+276850)
SPANXC	VCE389118 (-59654)
SPATA31D1	VCE356247|VCE356248|VCE356249|VCE356250|VCE356251|VCE356252 (+343810)
SPATA6	VCE6145|VCE6146 (-258622), VCE6138 (-223268), VCE6131 (-193891), VCE6093 (-64876)
SPATS2L	VCE189855 (-137657)
SPOCD1	VCE3203|VCE3204 (+45015)
SPOCK1	VCE276960 (+89010)
SPOP	VCE137602|VCE137603|VCE137604 (+61359), VCE137592 (+80499)
SPRED1	VCE109345|VCE109346 (-28197)
SPRED2	VCE169731 (-438478), VCE169720|VCE169721|VCE169722|VCE169723|VCE169724|VCE169725|VCE169726|VCE169727|VCE169728|VCE169729 (-433377)
SPTBN1	VCE166786 (-17757)
SPTLC3	VCE197120|VCE197121 (-132269)
SQRDL	VCE110096 (+97905), VCE110123 (+209820), VCE110134 (+265888)
SRBD1	VCE165654 (+353498)
SRF	VCE290219|VCE290220|VCE290221 (-80780)
SRR	VCE131889 (-212811)
SRRM4	VCE78672 (-234761)
SSBP3	VCE7195|VCE7196|VCE7197 (-1395)
ST18	VCE333926|VCE333927|VCE333928 (+114409), VCE333911|VCE333912 (+165051)
ST3GAL4	VCE62900|VCE62901 (+456534), VCE62924|VCE62925 (+491962)
ST6GALNAC3	VCE10767|VCE10768 (+285962)
STAC	VCE214937 (-83701), VCE214955|VCE214956|VCE214957 (+215226)
STAC3	VCE71112|VCE71113 (-10726)
STC1	VCE331102|VCE331103|VCE331104|VCE331105 (-285419), VCE331083 (-154154)
STC2	VCE283462 (+9046)
STIM2	VCE241027 (+452759)
STK31	VCE312467|VCE312468 (+341278)
STK33	VCE49491 (-186558), VCE49439 (+72981), VCE49400|VCE49401 (+185564), VCE49391|VCE49392 (+205916)
STX8	VCE132629|VCE132630|VCE132631 (+129216)
STXBP6	VCE93313|VCE93314|VCE93315|VCE93316|VCE93317|VCE93318|VCE93319 (-471752)
SUCLG2	VCE218924|VCE218925 (-78916)
SUDS3	VCE78672 (+370354)
SUFU	VCE44230|VCE44231 (+60759)
SULF1	VCE336155 (-439850), VCE336216|VCE336217 (-107201), VCE336218|VCE336219 (-101545)
SUMO1	VCE190118|VCE190119 (+198901)
SUPT3H	VCE290825 (-468084), VCE290670|VCE290671 (-55931)
SUSD1	VCE359821 (-89420)
SVEP1	VCE359689 (-76328)
SYCE1L	VCE129521|VCE129522|VCE129523 (+225719)
SYNDIG1L	VCE101787 (+23151)
SYNPR	VCE218329 (-243830)
SYT1	VCE73863|VCE73864 (+46565), VCE73921 (+424155)
SYT13	VCE54396 (-300427)
SYT16	VCE100095 (-98281)
TAB3	VCE370114|VCE370115 (-182480), VCE370110 (-171985)
TAC1	VCE321909 (-297433), VCE321915|VCE321916|VCE321917 (-286783), VCE321930 (-109297)
TANC1	VCE182784|VCE182785 (+2320)
TANC2	VCE139949|VCE139950 (-117124)
TANK	VCE183036|VCE183037|VCE183038 (-456443), VCE183144|VCE183145|VCE183146|VCE183147 (-59748)
TARDBP	VCE1238|VCE1239|VCE1240|VCE1241 (-147369)
TASP1	VCE197174|VCE197175 (+332829)
TAX1BP1	VCE313482|VCE313483|VCE313484|VCE313485 (+77860)
TBC1D16	VCE141594 (+84943)
TBC1D2	VCE357862 (-77057)
TBC1D32	VCE300757|VCE300758 (+243000)
TBC1D5	VCE212441 (-222393)
TBCA	VCE267498 (-196800)
TBCK	VCE248804|VCE248805 (-90077)
TBL1XR1	VCE234558 (-52256), VCE234531 (+264064)
TBX15	VCE18598 (-3364), VCE18579|VCE18580 (+40040)
TBX18	VCE294752|VCE294753|VCE294754|VCE294755|VCE294756|VCE294757 (-346740), VCE294662 (-44594), VCE294559 (+338377), VCE294556|VCE294557|VCE294558 (+339281)
TBX2	VCE139416|VCE139417 (-389977), VCE139516|VCE139517 (-212197), VCE139623 (-63677)
TBX3	VCE78113|VCE78114 (+225574)
TBX4	VCE139656 (+7642)
TBX5	VCE78113|VCE78114 (-49574)
TBXAS1	VCE327442|VCE327443 (+86051)
TCERG1	VCE278417 (-78628)
TCF21	VCE302522 (-301370), VCE302536 (-201286), VCE302537 (-200941)
TCF4	VCE151214 (-447289), VCE151181 (-330769), VCE151170 (-297983), VCE151089|VCE151090|VCE151091|VCE151092|VCE151093 (-127868), VCE150910 (+300735)
TCF7	VCE276457 (+23791)
TCF7L2	VCE45391 (-419397), VCE45439|VCE45440 (-351687), VCE45579 (-101990), VCE45653 (+51075), VCE45654 (+57232)
TCL1A	VCE104523 (-82695)
TDRD3	VCE84762|VCE84763|VCE84764|VCE84765 (-166396), VCE84803|VCE84804|VCE84805|VCE84806 (-71944), VCE84849 (+220045), VCE84865 (+362398)
TEAD1	VCE50068 (+415439)
TENM1	VCE385172 (-71872), VCE385107|VCE385108|VCE385109 (+113110), VCE385027 (+267763), VCE384928|VCE384929|VCE384930 (+463611)
TENM2	VCE282066|VCE282067|VCE282068|VCE282069|VCE282070|VCE282071|VCE282072 (+105825), VCE282128 (+184463), VCE282131 (+187982), VCE282134 (+199061), VCE282135 (+200596), VCE282136|VCE282137 (+206881), VCE282145 (+212790)
TENM3	VCE257891|VCE257892|VCE257893|VCE257894 (-318143), VCE257972|VCE257973 (-160332), VCE258023|VCE258024 (-55636), VCE258113|VCE258114|VCE258115 (+157683)
TENM4	VCE56902 (-489322), VCE56847|VCE56848 (-88787), VCE56748 (+406154)
TERF1	VCE336829|VCE336830 (-247216)
TES	VCE324478 (-99163)
TET3	VCE171448 (-37414)
TEX13A	VCE381267|VCE381268 (+282688)
TEX15	VCE331884|VCE331885|VCE331886|VCE331887 (-179705), VCE331876|VCE331877|VCE331878|VCE331879|VCE331880 (-148004)
TEX37	VCE172786|VCE172787 (-324357)
TFAM	VCE37276 (-46646)
TFAP2A	VCE286207|VCE286208|VCE286209 (+28925), VCE286114|VCE286115|VCE286116 (+359373)
TFAP2B	VCE291328 (+59140), VCE291403|VCE291404 (+290405)
TFAP2D	VCE291174 (-219150), VCE291177 (-193288), VCE291194 (-164675)
TFAP2E	VCE3777|VCE3778|VCE3779|VCE3780 (+50309)
TFCP2L1	VCE176178 (+380145), VCE176166 (+426347)
TFEC	VCE324478 (-80589)
TGFA	VCE170924|VCE170925 (+127929)
TGM5	VCE109806 (-165)
THBS1	VCE109457|VCE109458|VCE109459 (-41072), VCE109481|VCE109482|VCE109483|VCE109484 (+112073)
THEMIS	VCE301744|VCE301745 (-198849), VCE301731 (-119493)
THNSL2	VCE172786|VCE172787 (+28833)
THSD7A	VCE310403 (+311343)
THSD7B	VCE177898 (+265188)
TIAF1	VCE134482|VCE134483 (-20438), VCE134477|VCE134478 (-10833), VCE134471|VCE134472 (-5099)
TIGIT	VCE225681|VCE225682|VCE225683 (+72252)
TLE3	VCE113927 (-67971), VCE113925 (-56117), VCE113915|VCE113916 (-25075), VCE113904 (+4666), VCE113850 (+221503), VCE113847 (+232559), VCE113810|VCE113811|VCE113812 (+394288)
TLE4	VCE355380 (-454796), VCE355399|VCE355400|VCE355401 (-395708), VCE355452|VCE355453 (-245299), VCE355593|VCE355594 (+116889)
TLK1	VCE185037|VCE185038|VCE185039|VCE185040 (-184487)
TLN2	VCE112802 (-86408)
TM2D1	VCE8786|VCE8787|VCE8788|VCE8789|VCE8790|VCE8791|VCE8792 (+272470)
TMCO5A	VCE109172|VCE109173|VCE109174|VCE109175 (-225357), VCE109218|VCE109219 (-148588), VCE109345|VCE109346 (+288872)
TMEM100	VCE138339 (+111844)
TMEM115	VCE215907|VCE215908|VCE215909|VCE215910 (-11104)
TMEM14E	VCE231140 (-65022)
TMEM160	VCE158315 (-51678)
TMEM177	VCE176054 (+37255)
TMEM2	VCE354357|VCE354358 (+187566)
TMEM244	VCE302015 (+130863)
TMEM253	VCE92802|VCE92803 (-3919)
TMEM255A	VCE383937 (+2349), VCE383936 (+4594), VCE383934|VCE383935 (+6414), VCE383933 (+9003), VCE383932 (+16457), VCE383931 (+18474)
TMEM26	VCE37841|VCE37842 (-386647), VCE37705|VCE37706|VCE37707|VCE37708|VCE37709 (-141330), VCE37552|VCE37553 (+410797)
TMEM260	VCE99107 (+162673), VCE99151 (+217152)
TMEM38B	VCE358798|VCE358799 (+216529)
TMEM53	VCE5478|VCE5479 (+28137), VCE5473|VCE5474 (+32950), VCE5375|VCE5376 (+236987), VCE5373|VCE5374 (+237528), VCE5371|VCE5372 (+237953)
TMEM63B	VCE290334|VCE290335 (-226412), VCE290337|VCE290338 (-200252)
TMEM66	VCE331747 (+272696)
TMEM74	VCE342420 (-281846), VCE342376 (+146415)
TMEM88	VCE132441|VCE132442|VCE132443 (-13423)
TMIGD1	VCE134696 (-36117)
TMPO	VCE76372 (-286623)
TMTC2	VCE74270|VCE74271 (+8250), VCE74318|VCE74319 (+197201)
TMX1	VCE98226 (-60008)
TNFRSF11B	VCE343745|VCE343746|VCE343747 (+430880)
TNFSF11	VCE82066 (+3320)
TNKS	VCE329658|VCE329659|VCE329660|VCE329661|VCE329662 (+350068)
TNMD	VCE380566|VCE380567|VCE380568 (+20963)
TNN	VCE22952 (+57343), VCE23044 (+455503), VCE23048 (+465823), VCE23050|VCE23051 (+473662), VCE23053|VCE23054 (+485600), VCE23055 (+486656), VCE23056 (+494666), VCE23057|VCE23058 (+498277)
TNP1	VCE192982 (-204366)
TNR	VCE23057|VCE23058 (+177635), VCE23056 (+181246), VCE23055 (+189256), VCE23053|VCE23054 (+190312), VCE23050|VCE23051 (+202250), VCE23048 (+210089), VCE23044 (+220409)
TNS1	VCE193143 (+24118), VCE193125|VCE193126 (+200759), VCE193066|VCE193067|VCE193068|VCE193069 (+464392)
TOM1L1	VCE138199|VCE138200 (-326080)
TOP1	VCE200285 (-194818)
TOX	VCE334602|VCE334603 (-270223), VCE334567|VCE334568|VCE334569 (-163179), VCE334512|VCE334513|VCE334514|VCE334515 (+11309)
TOX3	VCE124717|VCE124718|VCE124719|VCE124720 (-232464), VCE124695|VCE124696 (-202128), VCE124577 (+64051), VCE124523 (+138664)
TPBGL	VCE56341|VCE56342 (-26252)
TPH2	VCE72994|VCE72995 (+98727)
TPRG1	VCE236477 (-317966)
TRAPPC3L	VCE300363 (-8032)
TRHDE	VCE72994|VCE72995 (-235110), VCE73131|VCE73132 (+271500)
TRHR	VCE342420 (-17160)
TRIB1	VCE344389 (+227177)
TRIM37	VCE139107 (+170135)
TRIM66	VCE49491 (+9484)
TRIM8	VCE44230|VCE44231 (-79750)
TRIM9	VCE98226 (-84099)
TRIML1	VCE258697|VCE258698 (+89040)
TRIO	VCE260362 (+3700)
TRIQK	VCE339713|VCE339714|VCE339715|VCE339716 (+354855)
TRIT1	VCE4647|VCE4648|VCE4649 (-3510)
TRMT11	VCE301375 (+287090)
TRPA1	VCE336761 (-18738)
TRPM3	VCE354357|VCE354358 (-459720), VCE354302 (+325622)
TSC22D1	VCE82417|VCE82418 (-328550), VCE82368|VCE82369|VCE82370 (+37380)
TSHZ3	VCE156995|VCE156996|VCE156997 (-367908), VCE156948|VCE156949|VCE156950 (-273058), VCE156801|VCE156802 (+24609)
TSPAN12	VCE324934|VCE324935|VCE324936 (+423546)
TSPAN5	VCE248197 (+28978), VCE248177 (+254405)
TSPAN6	VCE380566|VCE380567|VCE380568 (+31041)
TSPAN7	VCE371248|VCE371249|VCE371250 (+187974)
TSPYL6	VCE166786 (-182256)
TTC32	VCE161841 (+218154)
TTI1	VCE199696 (+127579)
TTLL11	VCE361518 (+132485), VCE361490 (+342821)
TTLL7	VCE12869|VCE12870 (+225953), VCE12868 (+226414), VCE12867 (+228995), VCE12866 (+229880), VCE12864|VCE12865 (+231851), VCE12862|VCE12863 (+232630), VCE12861 (+232913), VCE12856|VCE12857|VCE12858|VCE12859|VCE12860 (+234394), VCE12855 (+234880), VCE12854 (+235420), VCE12853 (+236361), VCE12851|VCE12852 (+239458), VCE12850 (+239803), VCE12847|VCE12848 (+249450), VCE12846 (+251552), VCE12845 (+253137), VCE12842|VCE12843|VCE12844 (+255382), VCE12840|VCE12841 (+256618), VCE12839 (+256944), VCE12837|VCE12838 (+257394), VCE12833|VCE12834 (+266013)
TWIST1	VCE311665|VCE311666 (+202004)
TXNL1	VCE151342 (+295977), VCE151309|VCE151310 (+359930)
TYRP1	VCE347647|VCE347648 (-329360), VCE347686|VCE347687 (-70995)
TYW5	VCE189855 (-212758)
UBE2D1	VCE37276 (+3401)
UBE2E3	VCE187383|VCE187384 (+125731), VCE187388|VCE187389 (+128144), VCE187450 (+397301), VCE187451|VCE187452|VCE187453 (+397941)
UBE2NL	VCE389355|VCE389356|VCE389357 (-224545)
UBL4B	VCE17359 (+21274)
UCP1	VCE253234 (-3789)
UNC119	VCE134346 (+24669)
UNC5B	VCE39079|VCE39080 (-285237)
UNC5C	VCE247688|VCE247689|VCE247690 (+346822)
UNC5CL	VCE289959|VCE289960 (+254839)
UNC5D	VCE332551|VCE332552 (+250671)
UNC80	VCE191844|VCE191845|VCE191846 (-84160), VCE191864|VCE191865|VCE191866 (+198496)
USH2A	VCE28191|VCE28192|VCE28193 (-276001), VCE28100|VCE28101|VCE28102 (-109014), VCE28073 (+3063)
USP35	VCE56643 (+80211)
UST	VCE304498 (-383092)
VAMP3	VCE749 (-255003)
VANGL1	VCE18105 (+1457)
VAT1L	VCE129576 (+151298)
VAV3	VCE17155 (+355119)
VAX1	VCE46472 (-8366), VCE46465|VCE46466 (-491)
VEGFA	VCE290334|VCE290335 (+129795), VCE290337|VCE290338 (+155955)
VEPH1	VCE231675|VCE231676|VCE231677|VCE231678 (-410664), VCE231588|VCE231589 (-251258)
VILL	VCE215062 (-68580)
VLDLR	VCE346179|VCE346180|VCE346181|VCE346182|VCE346183 (-461437)
VPS13A	VCE355077|VCE355078|VCE355079 (-45897)
VPS13B	VCE340949 (+26725)
VPS41	VCE314826|VCE314827 (+36193)
VPS45	VCE20407|VCE20408 (+13644)
VPS54	VCE169383|VCE169384|VCE169385|VCE169386 (-114984)
VPS8	VCE235874|VCE235875|VCE235876 (-131493), VCE235934|VCE235935 (+346312)
VRK1	VCE104597|VCE104598 (+8819)
VRK2	VCE167101 (-162148), VCE167142|VCE167143|VCE167144|VCE167145 (-37719), VCE167200|VCE167201 (+14294)
VRTN	VCE101787 (+54538)
VSNL1	VCE161354 (-382242), VCE161385 (-80662)
VSTM2L	VCE199692|VCE199693|VCE199694 (-4263), VCE199696 (+2778)
VTI1A	VCE45391 (+83596), VCE45439|VCE45440 (+151306), VCE45579 (+401003)
VWC2L	VCE192556 (-355074), VCE192643 (+103815), VCE192647 (+127920)
WASF2	VCE2862 (-100070)
WBSCR17	VCE318719|VCE318720|VCE318721|VCE318722 (-493382)
WDR44	VCE383633 (-94587)
WDSUB1	VCE182784|VCE182785 (+315600)
WNK1	VCE64600|VCE64601|VCE64602|VCE64603 (+128343)
WNT2	VCE324698 (-1254)
WSCD1	VCE132309 (+296506)
WWC1	VCE282381|VCE282382|VCE282383|VCE282384 (-414461)
XKR9	VCE336484|VCE336485 (+379670), VCE336510|VCE336511 (+431644), VCE336530|VCE336531 (+495604), VCE336532|VCE336533|VCE336534 (+496280)
XPO6	VCE122080 (-43834)
XRCC6BP1	VCE71318|VCE71319|VCE71320|VCE71321 (+431233)
YTHDF3	VCE335170|VCE335171 (+282355)
ZBTB2	VCE304733 (+64306)
ZBTB20	VCE225952|VCE225953 (-304975), VCE225681|VCE225682|VCE225683 (+20287)
ZBTB33	VCE383931 (+42207), VCE383932 (+44224), VCE383933 (+51678), VCE383934|VCE383935 (+54267), VCE383936 (+56087), VCE383937 (+58332)
ZBTB43	VCE362740 (-128073)
ZBTB7C	VCE149981|VCE149982 (-198028), VCE149956|VCE149957 (-63919), VCE149944|VCE149945 (+1431)
ZC3H12A	VCE4079 (-374549), VCE4091 (-302762), VCE4132 (-168753)
ZC3H4	VCE158315 (+13443)
ZCCHC12	VCE383724|VCE383725 (+127460)
ZEB1	VCE34704|VCE34705|VCE34706 (-245788)
ZEB2	VCE179560|VCE179561 (+68287)
ZFAND3	VCE289468 (-67060), VCE289539|VCE289540 (+270826), VCE289574|VCE289575 (+443153)
ZFHX3	VCE128680|VCE128681|VCE128682 (-281307), VCE128597 (-131683), VCE128454|VCE128455|VCE128456 (+146103), VCE128447 (+165216), VCE128434|VCE128435 (+198704), VCE128363|VCE128364|VCE128365|VCE128366 (+414524)
ZFHX4	VCE337685|VCE337686|VCE337687 (+118051)
ZFP36L1	VCE101134|VCE101135 (+61875), VCE101093 (+223707)
ZFP36L2	VCE165044 (+188027), VCE165032 (+271923), VCE165020 (+319601)
ZFP64	VCE201595|VCE201596 (-218583), VCE201586|VCE201587 (-177161)
ZIC1	VCE230504|VCE230505|VCE230506 (+252012)
ZMAT4	VCE333253 (+478783), VCE333252 (+479616)
ZMIZ1	VCE41002 (-494488), VCE41122 (-16775), VCE41170|VCE41171 (+176054)
ZNF18	VCE132808 (+140203)
ZNF219	VCE92802|VCE92803 (+3622)
ZNF326	VCE14193|VCE14194|VCE14195 (+92199), VCE14256|VCE14257|VCE14258 (+245705), VCE14300|VCE14301 (+331559)
ZNF330	VCE253276 (+267465)
ZNF395	VCE331596 (-506)
ZNF438	VCE34704|VCE34705|VCE34706 (-41447)
ZNF462	VCE359042|VCE359043 (-188820), VCE359059|VCE359060 (-131020), VCE359080|VCE359081 (-64631), VCE359230|VCE359231|VCE359232 (+251545)
ZNF503	VCE39943 (-212009), VCE39893|VCE39894|VCE39895|VCE39896|VCE39897|VCE39898|VCE39899 (-106473)
ZNF608	VCE275123 (-94146), VCE275117 (-78110), VCE275052|VCE275053|VCE275054|VCE275055 (+12039), VCE274899|VCE274900|VCE274901|VCE274902|VCE274903|VCE274904 (+444377)
ZNF618	VCE359994 (+36298), VCE359996 (+39924)
ZNF645	VCE367975|VCE367976 (+27315), VCE368048|VCE368049|VCE368050 (+243982)
ZNF703	VCE332875|VCE332876 (-470918), VCE332904 (-397323), VCE332950 (-275117), VCE332962|VCE332963 (-216209)
ZNF770	VCE107988|VCE107989 (-393328), VCE107934|VCE107935|VCE107936|VCE107937 (-265659), VCE107900|VCE107901|VCE107902 (-195021)
ZNF804A	VCE187882 (+465756)
ZSCAN20	VCE3404|VCE3405 (+228894)

